Event,Fabric,Color,Style_Persona,Micro_Climate,Suitability_Score,Match_Status
Beach Party,Polyester,Emerald Green,Bold,Indoor (AC),0.23,0
Gym/Workout,Polyester,Maroon,Minimalist,Indoor (AC),0.33,0
Traditional Wedding,Linen,Navy Blue,Professional,Outdoor (Humid),0.88,1
Pola/Market,Polyester,White,Professional,Outdoor (Humid),0.25,0
Dinner Gala,Linen,Navy Blue,Bold,Outdoor (Humid),0.62,0
Temple Visit,Linen,White,Minimalist,Outdoor (Humid),0.8,1
Beach Party,Linen,Earth Tone,Bold,Indoor (AC),0.13,0
Corporate Meeting,Cotton,Black,Bold,Outdoor (Humid),0.53,0
Gym/Workout,Georgette,Maroon,Professional,Outdoor (Humid),0.35,0
Pola/Market,Silk,Black,Bold,Outdoor (Humid),0.45,0
Beach Party,Cotton,Emerald Green,Professional,Indoor (AC),0.14,0
Gym/Workout,Silk,Earth Tone,Minimalist,Outdoor (Humid),0.42,0
Beach Party,Silk,Earth Tone,Minimalist,Indoor (AC),0.4,0
Temple Visit,Linen,White,Bold,Outdoor (Humid),0.87,1
Corporate Meeting,Polyester,White,Professional,Indoor (AC),0.53,0
Dinner Gala,Silk,Maroon,Minimalist,Indoor (AC),0.95,1
Temple Visit,Cotton,Navy Blue,Minimalist,Indoor (AC),0.15,0
Traditional Wedding,Viscose,Black,Minimalist,Indoor (AC),0.47,0
Pola/Market,Georgette,Maroon,Bold,Indoor (AC),0.26,0
Temple Visit,Georgette,Earth Tone,Bold,Outdoor (Humid),0.4,0
Traditional Wedding,Cotton,White,Bold,Indoor (AC),0.18,0
Corporate Meeting,Georgette,White,Bold,Outdoor (Humid),0.49,0
Beach Party,Silk,Black,Minimalist,Outdoor (Humid),0.5,0
Corporate Meeting,Cotton,Navy Blue,Professional,Outdoor (Humid),0.89,1
Dinner Gala,Linen,Earth Tone,Bold,Indoor (AC),0.28,0
Temple Visit,Polyester,Maroon,Professional,Outdoor (Humid),0.24,0
Dinner Gala,Georgette,Navy Blue,Minimalist,Outdoor (Humid),0.82,1
Beach Party,Linen,White,Professional,Outdoor (Humid),0.61,0
Temple Visit,Viscose,White,Professional,Outdoor (Humid),0.13,0
Corporate Meeting,Linen,White,Minimalist,Outdoor (Humid),0.56,0
Pola/Market,Cotton,Navy Blue,Bold,Indoor (AC),0.38,0
Beach Party,Cotton,Maroon,Professional,Indoor (AC),0.43,0
Beach Party,Linen,Maroon,Bold,Outdoor (Humid),0.54,0
Beach Party,Polyester,Maroon,Bold,Indoor (AC),0.14,0
Traditional Wedding,Silk,Black,Professional,Indoor (AC),0.9,1
Dinner Gala,Polyester,Maroon,Minimalist,Indoor (AC),0.28,0
Temple Visit,Georgette,Black,Bold,Indoor (AC),0.2,0
Dinner Gala,Silk,White,Professional,Outdoor (Humid),0.7,0
Dinner Gala,Cotton,Black,Professional,Outdoor (Humid),0.7,0
Corporate Meeting,Georgette,Maroon,Bold,Outdoor (Humid),0.44,0
Traditional Wedding,Linen,Black,Bold,Indoor (AC),0.19,0
Beach Party,Cotton,White,Bold,Outdoor (Humid),0.77,1
Corporate Meeting,Georgette,Maroon,Minimalist,Indoor (AC),0.22,0
Gym/Workout,Polyester,Black,Bold,Outdoor (Humid),0.26,0
Traditional Wedding,Silk,Earth Tone,Bold,Indoor (AC),0.77,1
Dinner Gala,Polyester,White,Professional,Indoor (AC),0.43,0
Gym/Workout,Silk,Maroon,Bold,Indoor (AC),0.43,0
Gym/Workout,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.8,1
Gym/Workout,Viscose,Earth Tone,Minimalist,Indoor (AC),0.34,0
Gym/Workout,Polyester,Navy Blue,Bold,Outdoor (Humid),0.13,0
Beach Party,Georgette,Maroon,Bold,Outdoor (Humid),0.16,0
Gym/Workout,Viscose,White,Bold,Outdoor (Humid),0.25,0
Beach Party,Linen,Maroon,Professional,Indoor (AC),0.42,0
Gym/Workout,Silk,Navy Blue,Minimalist,Indoor (AC),0.32,0
Traditional Wedding,Cotton,Navy Blue,Bold,Outdoor (Humid),0.74,0
Gym/Workout,Viscose,Earth Tone,Bold,Outdoor (Humid),0.28,0
Dinner Gala,Viscose,Emerald Green,Professional,Indoor (AC),0.25,0
Pola/Market,Silk,Navy Blue,Minimalist,Indoor (AC),0.45,0
Beach Party,Georgette,Emerald Green,Professional,Indoor (AC),0.41,0
Traditional Wedding,Linen,Black,Bold,Indoor (AC),0.33,0
Pola/Market,Georgette,Navy Blue,Minimalist,Indoor (AC),0.28,0
Temple Visit,Linen,Black,Bold,Outdoor (Humid),0.65,0
Corporate Meeting,Viscose,Black,Bold,Outdoor (Humid),0.35,0
Temple Visit,Georgette,Navy Blue,Professional,Outdoor (Humid),0.37,0
Traditional Wedding,Cotton,Black,Bold,Indoor (AC),0.33,0
Corporate Meeting,Georgette,Navy Blue,Bold,Indoor (AC),0.2,0
Traditional Wedding,Linen,Maroon,Bold,Outdoor (Humid),0.7,0
Traditional Wedding,Viscose,Maroon,Bold,Outdoor (Humid),0.14,0
Temple Visit,Georgette,Earth Tone,Minimalist,Indoor (AC),0.19,0
Beach Party,Linen,Maroon,Professional,Indoor (AC),0.36,0
Corporate Meeting,Cotton,White,Professional,Outdoor (Humid),0.91,1
Gym/Workout,Polyester,Earth Tone,Professional,Indoor (AC),0.46,0
Traditional Wedding,Linen,Maroon,Bold,Outdoor (Humid),0.62,0
Temple Visit,Linen,Maroon,Bold,Outdoor (Humid),0.77,1
Gym/Workout,Linen,Maroon,Professional,Outdoor (Humid),0.58,0
Corporate Meeting,Cotton,Earth Tone,Professional,Outdoor (Humid),1.0,1
Traditional Wedding,Silk,White,Professional,Outdoor (Humid),0.82,1
Corporate Meeting,Cotton,White,Bold,Outdoor (Humid),0.52,0
Corporate Meeting,Polyester,White,Professional,Indoor (AC),0.45,0
Dinner Gala,Georgette,Navy Blue,Bold,Outdoor (Humid),0.78,1
Corporate Meeting,Linen,Navy Blue,Bold,Outdoor (Humid),0.55,0
Beach Party,Silk,Maroon,Minimalist,Indoor (AC),0.64,0
Temple Visit,Georgette,Emerald Green,Minimalist,Outdoor (Humid),0.1,0
Traditional Wedding,Silk,Emerald Green,Professional,Indoor (AC),0.7,0
Corporate Meeting,Georgette,White,Professional,Indoor (AC),0.62,0
Gym/Workout,Silk,Maroon,Professional,Indoor (AC),0.45,0
Pola/Market,Silk,Navy Blue,Bold,Outdoor (Humid),0.38,0
Traditional Wedding,Georgette,Emerald Green,Professional,Outdoor (Humid),0.67,0
Pola/Market,Linen,Earth Tone,Professional,Indoor (AC),0.13,0
Dinner Gala,Polyester,Navy Blue,Professional,Indoor (AC),0.46,0
Dinner Gala,Viscose,Earth Tone,Professional,Outdoor (Humid),0.42,0
Dinner Gala,Georgette,Maroon,Bold,Indoor (AC),0.9,1
Beach Party,Cotton,Maroon,Professional,Indoor (AC),0.24,0
Beach Party,Georgette,Earth Tone,Professional,Indoor (AC),0.5,0
Pola/Market,Viscose,Maroon,Minimalist,Outdoor (Humid),0.15,0
Dinner Gala,Linen,Black,Bold,Outdoor (Humid),0.65,0
Corporate Meeting,Linen,Navy Blue,Professional,Indoor (AC),0.4,0
Corporate Meeting,Silk,Earth Tone,Minimalist,Outdoor (Humid),0.37,0
Pola/Market,Cotton,Black,Professional,Indoor (AC),0.16,0
Gym/Workout,Cotton,Maroon,Bold,Indoor (AC),0.41,0
Traditional Wedding,Silk,Earth Tone,Professional,Indoor (AC),0.83,1
Temple Visit,Viscose,Earth Tone,Bold,Indoor (AC),0.45,0
Traditional Wedding,Viscose,Emerald Green,Minimalist,Indoor (AC),0.29,0
Gym/Workout,Cotton,White,Minimalist,Indoor (AC),0.25,0
Corporate Meeting,Silk,Black,Bold,Outdoor (Humid),0.22,0
Pola/Market,Cotton,Maroon,Professional,Indoor (AC),0.36,0
Traditional Wedding,Cotton,White,Bold,Outdoor (Humid),0.56,0
Corporate Meeting,Viscose,Earth Tone,Bold,Indoor (AC),0.23,0
Pola/Market,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.71,0
Temple Visit,Silk,Black,Bold,Indoor (AC),0.38,0
Traditional Wedding,Silk,Maroon,Bold,Outdoor (Humid),0.65,0
Gym/Workout,Polyester,Black,Bold,Outdoor (Humid),0.17,0
Beach Party,Georgette,White,Professional,Indoor (AC),0.26,0
Beach Party,Polyester,Navy Blue,Bold,Indoor (AC),0.42,0
Dinner Gala,Cotton,Earth Tone,Minimalist,Indoor (AC),0.34,0
Beach Party,Viscose,Maroon,Bold,Outdoor (Humid),0.44,0
Beach Party,Georgette,White,Minimalist,Indoor (AC),0.19,0
Dinner Gala,Linen,Navy Blue,Bold,Indoor (AC),0.27,0
Corporate Meeting,Cotton,White,Bold,Outdoor (Humid),0.77,1
Corporate Meeting,Linen,Black,Bold,Indoor (AC),0.32,0
Corporate Meeting,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.51,0
Pola/Market,Georgette,Black,Minimalist,Indoor (AC),0.12,0
Beach Party,Polyester,Earth Tone,Bold,Indoor (AC),0.27,0
Pola/Market,Polyester,Black,Bold,Indoor (AC),0.47,0
Temple Visit,Linen,Maroon,Bold,Outdoor (Humid),0.51,0
Gym/Workout,Polyester,Maroon,Minimalist,Outdoor (Humid),0.13,0
Gym/Workout,Georgette,Earth Tone,Bold,Outdoor (Humid),0.49,0
Corporate Meeting,Viscose,Black,Minimalist,Indoor (AC),0.34,0
Temple Visit,Cotton,Maroon,Bold,Outdoor (Humid),0.77,1
Dinner Gala,Cotton,Maroon,Bold,Outdoor (Humid),0.65,0
Dinner Gala,Silk,White,Bold,Outdoor (Humid),0.71,0
Gym/Workout,Cotton,White,Bold,Indoor (AC),0.45,0
Temple Visit,Georgette,Emerald Green,Bold,Indoor (AC),0.28,0
Traditional Wedding,Viscose,Navy Blue,Bold,Indoor (AC),0.23,0
Gym/Workout,Silk,Navy Blue,Professional,Outdoor (Humid),0.25,0
Beach Party,Viscose,Earth Tone,Bold,Outdoor (Humid),0.23,0
Beach Party,Georgette,Earth Tone,Minimalist,Outdoor (Humid),0.2,0
Temple Visit,Linen,Earth Tone,Bold,Indoor (AC),0.42,0
Corporate Meeting,Silk,White,Minimalist,Outdoor (Humid),0.12,0
Pola/Market,Polyester,Navy Blue,Minimalist,Outdoor (Humid),0.19,0
Gym/Workout,Cotton,Navy Blue,Bold,Indoor (AC),0.47,0
Pola/Market,Georgette,White,Bold,Indoor (AC),0.39,0
Temple Visit,Polyester,Earth Tone,Minimalist,Indoor (AC),0.33,0
Dinner Gala,Silk,Navy Blue,Professional,Outdoor (Humid),0.76,1
Traditional Wedding,Linen,Navy Blue,Bold,Indoor (AC),0.18,0
Beach Party,Cotton,Black,Minimalist,Indoor (AC),0.28,0
Corporate Meeting,Viscose,Earth Tone,Professional,Indoor (AC),0.48,0
Pola/Market,Linen,Earth Tone,Bold,Outdoor (Humid),0.51,0
Gym/Workout,Silk,White,Minimalist,Outdoor (Humid),0.18,0
Pola/Market,Viscose,Maroon,Bold,Outdoor (Humid),0.25,0
Dinner Gala,Silk,Emerald Green,Minimalist,Indoor (AC),0.77,1
Traditional Wedding,Viscose,White,Bold,Indoor (AC),0.29,0
Gym/Workout,Linen,Navy Blue,Bold,Outdoor (Humid),0.81,1
Traditional Wedding,Cotton,Black,Minimalist,Indoor (AC),0.31,0
Dinner Gala,Cotton,Maroon,Professional,Indoor (AC),0.24,0
Corporate Meeting,Silk,Maroon,Minimalist,Indoor (AC),0.42,0
Beach Party,Silk,Maroon,Bold,Indoor (AC),0.53,0
Corporate Meeting,Cotton,White,Bold,Indoor (AC),0.33,0
Beach Party,Viscose,Black,Minimalist,Outdoor (Humid),0.17,0
Beach Party,Cotton,Emerald Green,Bold,Outdoor (Humid),0.77,1
Pola/Market,Cotton,Navy Blue,Minimalist,Indoor (AC),0.26,0
Dinner Gala,Georgette,Emerald Green,Professional,Indoor (AC),0.61,0
Pola/Market,Cotton,Emerald Green,Professional,Indoor (AC),0.24,0
Traditional Wedding,Silk,Maroon,Professional,Indoor (AC),0.78,1
Pola/Market,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.65,0
Corporate Meeting,Linen,Black,Minimalist,Indoor (AC),0.12,0
Beach Party,Linen,Earth Tone,Bold,Outdoor (Humid),0.73,0
Corporate Meeting,Viscose,Maroon,Minimalist,Indoor (AC),0.49,0
Temple Visit,Georgette,Maroon,Bold,Outdoor (Humid),0.41,0
Pola/Market,Silk,Maroon,Professional,Outdoor (Humid),0.33,0
Pola/Market,Polyester,Emerald Green,Bold,Outdoor (Humid),0.49,0
Corporate Meeting,Cotton,Emerald Green,Minimalist,Indoor (AC),0.12,0
Pola/Market,Georgette,Emerald Green,Professional,Indoor (AC),0.34,0
Temple Visit,Cotton,Emerald Green,Professional,Outdoor (Humid),0.81,1
Traditional Wedding,Georgette,Earth Tone,Minimalist,Indoor (AC),0.75,1
Temple Visit,Cotton,Earth Tone,Bold,Outdoor (Humid),0.6,0
Dinner Gala,Viscose,Earth Tone,Minimalist,Indoor (AC),0.33,0
Dinner Gala,Viscose,Navy Blue,Minimalist,Indoor (AC),0.1,0
Dinner Gala,Silk,Earth Tone,Bold,Outdoor (Humid),0.63,0
Corporate Meeting,Linen,White,Minimalist,Indoor (AC),0.17,0
Beach Party,Georgette,Navy Blue,Minimalist,Indoor (AC),0.37,0
Beach Party,Silk,Black,Minimalist,Outdoor (Humid),0.46,0
Temple Visit,Viscose,Earth Tone,Bold,Indoor (AC),0.17,0
Pola/Market,Georgette,Earth Tone,Minimalist,Indoor (AC),0.39,0
Corporate Meeting,Polyester,Navy Blue,Professional,Outdoor (Humid),0.46,0
Corporate Meeting,Linen,Emerald Green,Minimalist,Outdoor (Humid),0.65,0
Temple Visit,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.26,0
Corporate Meeting,Linen,Navy Blue,Minimalist,Outdoor (Humid),0.69,0
Gym/Workout,Linen,Earth Tone,Minimalist,Indoor (AC),0.28,0
Gym/Workout,Silk,Earth Tone,Minimalist,Outdoor (Humid),0.46,0
Corporate Meeting,Silk,Navy Blue,Minimalist,Outdoor (Humid),0.46,0
Temple Visit,Georgette,Earth Tone,Bold,Outdoor (Humid),0.38,0
Dinner Gala,Polyester,Earth Tone,Minimalist,Outdoor (Humid),0.15,0
Dinner Gala,Polyester,Navy Blue,Professional,Outdoor (Humid),0.33,0
Pola/Market,Viscose,Earth Tone,Professional,Outdoor (Humid),0.32,0
Dinner Gala,Georgette,Emerald Green,Minimalist,Indoor (AC),0.87,1
Corporate Meeting,Georgette,White,Bold,Indoor (AC),0.33,0
Traditional Wedding,Linen,Earth Tone,Bold,Indoor (AC),0.37,0
Beach Party,Cotton,White,Bold,Indoor (AC),0.21,0
Traditional Wedding,Linen,White,Bold,Indoor (AC),0.27,0
Beach Party,Silk,Maroon,Minimalist,Indoor (AC),0.37,0
Dinner Gala,Georgette,White,Minimalist,Indoor (AC),0.75,1
Traditional Wedding,Linen,Navy Blue,Minimalist,Indoor (AC),0.15,0
Corporate Meeting,Georgette,Maroon,Professional,Outdoor (Humid),0.55,0
Gym/Workout,Viscose,Earth Tone,Minimalist,Indoor (AC),0.22,0
Corporate Meeting,Cotton,Navy Blue,Professional,Indoor (AC),0.59,0
Corporate Meeting,Polyester,Navy Blue,Bold,Outdoor (Humid),0.47,0
Dinner Gala,Polyester,Earth Tone,Professional,Outdoor (Humid),0.36,0
Pola/Market,Georgette,Maroon,Professional,Indoor (AC),0.4,0
Dinner Gala,Linen,Maroon,Bold,Outdoor (Humid),0.6,0
Pola/Market,Georgette,Earth Tone,Bold,Indoor (AC),0.42,0
Corporate Meeting,Viscose,Earth Tone,Professional,Indoor (AC),0.55,0
Pola/Market,Linen,Navy Blue,Professional,Indoor (AC),0.11,0
Corporate Meeting,Cotton,White,Bold,Outdoor (Humid),0.51,0
Gym/Workout,Polyester,Black,Bold,Outdoor (Humid),0.21,0
Corporate Meeting,Silk,Maroon,Minimalist,Indoor (AC),0.38,0
Beach Party,Cotton,Navy Blue,Bold,Outdoor (Humid),0.65,0
Corporate Meeting,Viscose,White,Professional,Indoor (AC),0.46,0
Traditional Wedding,Polyester,Navy Blue,Bold,Outdoor (Humid),0.37,0
Gym/Workout,Silk,Maroon,Bold,Outdoor (Humid),0.31,0
Traditional Wedding,Silk,Maroon,Bold,Indoor (AC),0.88,1
Gym/Workout,Georgette,White,Bold,Outdoor (Humid),0.32,0
Temple Visit,Cotton,Navy Blue,Bold,Outdoor (Humid),0.83,1
Dinner Gala,Georgette,Navy Blue,Professional,Outdoor (Humid),0.63,0
Dinner Gala,Viscose,Navy Blue,Minimalist,Indoor (AC),0.13,0
Gym/Workout,Cotton,Earth Tone,Minimalist,Outdoor (Humid),0.71,0
Temple Visit,Linen,Navy Blue,Minimalist,Outdoor (Humid),0.52,0
Traditional Wedding,Linen,Navy Blue,Professional,Indoor (AC),0.19,0
Beach Party,Linen,White,Bold,Outdoor (Humid),0.82,1
Gym/Workout,Cotton,Black,Professional,Indoor (AC),0.1,0
Pola/Market,Polyester,White,Bold,Outdoor (Humid),0.21,0
Gym/Workout,Georgette,Black,Professional,Outdoor (Humid),0.27,0
Pola/Market,Cotton,Earth Tone,Bold,Outdoor (Humid),0.76,1
Traditional Wedding,Linen,Emerald Green,Professional,Outdoor (Humid),0.8,1
Traditional Wedding,Cotton,Emerald Green,Bold,Outdoor (Humid),0.82,1
Gym/Workout,Silk,Emerald Green,Bold,Outdoor (Humid),0.42,0
Corporate Meeting,Silk,Navy Blue,Bold,Indoor (AC),0.32,0
Temple Visit,Polyester,Navy Blue,Minimalist,Indoor (AC),0.24,0
Temple Visit,Linen,Navy Blue,Bold,Indoor (AC),0.42,0
Pola/Market,Cotton,Navy Blue,Bold,Outdoor (Humid),0.53,0
Corporate Meeting,Georgette,Earth Tone,Bold,Outdoor (Humid),0.42,0
Pola/Market,Silk,Black,Bold,Outdoor (Humid),0.36,0
Corporate Meeting,Viscose,White,Minimalist,Indoor (AC),0.48,0
Corporate Meeting,Viscose,White,Bold,Outdoor (Humid),0.13,0
Dinner Gala,Polyester,Emerald Green,Professional,Indoor (AC),0.24,0
Dinner Gala,Linen,White,Minimalist,Outdoor (Humid),0.65,0
Corporate Meeting,Polyester,Maroon,Professional,Outdoor (Humid),0.67,0
Temple Visit,Silk,White,Professional,Indoor (AC),0.55,0
Gym/Workout,Cotton,Navy Blue,Bold,Outdoor (Humid),0.67,0
Beach Party,Viscose,Emerald Green,Professional,Indoor (AC),0.45,0
Traditional Wedding,Silk,Earth Tone,Professional,Indoor (AC),0.8,1
Corporate Meeting,Polyester,Navy Blue,Professional,Indoor (AC),0.74,0
Temple Visit,Cotton,Earth Tone,Bold,Outdoor (Humid),0.79,1
Temple Visit,Viscose,Maroon,Professional,Indoor (AC),0.28,0
Corporate Meeting,Georgette,Emerald Green,Professional,Outdoor (Humid),0.69,0
Pola/Market,Georgette,Black,Professional,Outdoor (Humid),0.22,0
Dinner Gala,Polyester,White,Minimalist,Outdoor (Humid),0.28,0
Corporate Meeting,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.18,0
Pola/Market,Polyester,Navy Blue,Bold,Indoor (AC),0.14,0
Dinner Gala,Silk,Emerald Green,Minimalist,Indoor (AC),0.75,1
Beach Party,Polyester,Black,Bold,Outdoor (Humid),0.31,0
Dinner Gala,Polyester,White,Bold,Indoor (AC),0.11,0
Temple Visit,Silk,Black,Bold,Indoor (AC),0.62,0
Traditional Wedding,Cotton,Emerald Green,Professional,Indoor (AC),0.15,0
Traditional Wedding,Georgette,Emerald Green,Minimalist,Indoor (AC),0.54,0
Traditional Wedding,Linen,Black,Professional,Outdoor (Humid),0.57,0
Beach Party,Georgette,Emerald Green,Bold,Outdoor (Humid),0.13,0
Temple Visit,Viscose,Emerald Green,Bold,Indoor (AC),0.25,0
Pola/Market,Linen,Black,Bold,Outdoor (Humid),0.61,0
Beach Party,Cotton,Emerald Green,Bold,Outdoor (Humid),0.78,1
Traditional Wedding,Silk,Earth Tone,Minimalist,Indoor (AC),0.86,1
Corporate Meeting,Cotton,Black,Professional,Outdoor (Humid),1.0,1
Traditional Wedding,Viscose,White,Minimalist,Indoor (AC),0.26,0
Traditional Wedding,Silk,Black,Professional,Indoor (AC),0.83,1
Pola/Market,Georgette,Emerald Green,Professional,Outdoor (Humid),0.11,0
Dinner Gala,Georgette,Earth Tone,Professional,Indoor (AC),0.67,0
Beach Party,Polyester,Navy Blue,Minimalist,Indoor (AC),0.34,0
Temple Visit,Viscose,Maroon,Minimalist,Indoor (AC),0.46,0
Corporate Meeting,Viscose,Earth Tone,Bold,Indoor (AC),0.45,0
Beach Party,Polyester,Emerald Green,Professional,Indoor (AC),0.4,0
Pola/Market,Polyester,Earth Tone,Professional,Outdoor (Humid),0.21,0
Pola/Market,Viscose,Emerald Green,Professional,Outdoor (Humid),0.25,0
Pola/Market,Cotton,Black,Minimalist,Indoor (AC),0.1,0
Pola/Market,Linen,Black,Bold,Outdoor (Humid),0.55,0
Traditional Wedding,Linen,Earth Tone,Minimalist,Outdoor (Humid),0.56,0
Traditional Wedding,Polyester,Navy Blue,Minimalist,Indoor (AC),0.38,0
Temple Visit,Silk,White,Bold,Outdoor (Humid),0.2,0
Dinner Gala,Polyester,Black,Minimalist,Outdoor (Humid),0.17,0
Temple Visit,Polyester,Earth Tone,Professional,Indoor (AC),0.34,0
Corporate Meeting,Silk,Earth Tone,Bold,Indoor (AC),0.5,0
Pola/Market,Polyester,Black,Professional,Outdoor (Humid),0.2,0
Traditional Wedding,Linen,White,Professional,Indoor (AC),0.34,0
Temple Visit,Georgette,Navy Blue,Bold,Indoor (AC),0.15,0
Temple Visit,Viscose,Earth Tone,Bold,Outdoor (Humid),0.16,0
Corporate Meeting,Silk,Emerald Green,Bold,Outdoor (Humid),0.5,0
Temple Visit,Linen,Earth Tone,Professional,Outdoor (Humid),0.65,0
Pola/Market,Cotton,Earth Tone,Professional,Outdoor (Humid),0.7,0
Dinner Gala,Polyester,Emerald Green,Bold,Indoor (AC),0.17,0
Gym/Workout,Linen,Emerald Green,Bold,Outdoor (Humid),0.61,0
Dinner Gala,Cotton,Earth Tone,Professional,Outdoor (Humid),0.58,0
Temple Visit,Silk,White,Minimalist,Outdoor (Humid),0.36,0
Gym/Workout,Silk,Maroon,Professional,Indoor (AC),0.54,0
Pola/Market,Georgette,White,Professional,Outdoor (Humid),0.27,0
Gym/Workout,Viscose,Navy Blue,Professional,Indoor (AC),0.48,0
Temple Visit,Georgette,White,Professional,Indoor (AC),0.45,0
Beach Party,Linen,Earth Tone,Minimalist,Indoor (AC),0.35,0
Pola/Market,Georgette,Black,Professional,Outdoor (Humid),0.3,0
Beach Party,Cotton,Earth Tone,Bold,Outdoor (Humid),0.59,0
Gym/Workout,Viscose,Maroon,Bold,Indoor (AC),0.24,0
Pola/Market,Georgette,White,Bold,Indoor (AC),0.43,0
Pola/Market,Polyester,Earth Tone,Minimalist,Outdoor (Humid),0.39,0
Corporate Meeting,Silk,Maroon,Professional,Indoor (AC),0.96,1
Pola/Market,Polyester,Navy Blue,Professional,Outdoor (Humid),0.22,0
Corporate Meeting,Linen,White,Professional,Outdoor (Humid),1.0,1
Pola/Market,Silk,Earth Tone,Minimalist,Indoor (AC),0.57,0
Beach Party,Viscose,Earth Tone,Professional,Indoor (AC),0.48,0
Beach Party,Cotton,Navy Blue,Professional,Indoor (AC),0.33,0
Pola/Market,Silk,Navy Blue,Bold,Outdoor (Humid),0.18,0
Traditional Wedding,Cotton,Emerald Green,Professional,Outdoor (Humid),0.53,0
Corporate Meeting,Viscose,Navy Blue,Professional,Indoor (AC),0.61,0
Pola/Market,Viscose,Black,Bold,Indoor (AC),0.39,0
Traditional Wedding,Viscose,Earth Tone,Minimalist,Outdoor (Humid),0.38,0
Pola/Market,Polyester,Earth Tone,Minimalist,Indoor (AC),0.25,0
Corporate Meeting,Polyester,Emerald Green,Professional,Outdoor (Humid),0.71,0
Dinner Gala,Polyester,Maroon,Bold,Indoor (AC),0.47,0
Pola/Market,Polyester,Black,Minimalist,Indoor (AC),0.13,0
Temple Visit,Silk,Earth Tone,Professional,Outdoor (Humid),0.11,0
Temple Visit,Polyester,Earth Tone,Bold,Indoor (AC),0.27,0
Gym/Workout,Polyester,White,Bold,Outdoor (Humid),0.2,0
Pola/Market,Georgette,Maroon,Bold,Outdoor (Humid),0.43,0
Pola/Market,Silk,Black,Professional,Outdoor (Humid),0.17,0
Gym/Workout,Linen,Black,Professional,Outdoor (Humid),0.56,0
Gym/Workout,Cotton,Earth Tone,Minimalist,Indoor (AC),0.37,0
Dinner Gala,Linen,White,Minimalist,Outdoor (Humid),0.86,1
Beach Party,Linen,White,Bold,Indoor (AC),0.48,0
Temple Visit,Silk,Earth Tone,Professional,Indoor (AC),0.37,0
Gym/Workout,Viscose,Black,Bold,Indoor (AC),0.11,0
Pola/Market,Cotton,Maroon,Professional,Indoor (AC),0.4,0
Gym/Workout,Linen,Black,Minimalist,Outdoor (Humid),0.74,0
Temple Visit,Polyester,White,Minimalist,Outdoor (Humid),0.26,0
Gym/Workout,Linen,Maroon,Bold,Indoor (AC),0.25,0
Corporate Meeting,Polyester,Maroon,Professional,Indoor (AC),0.55,0
Pola/Market,Georgette,White,Minimalist,Indoor (AC),0.37,0
Dinner Gala,Polyester,Maroon,Bold,Outdoor (Humid),0.18,0
Traditional Wedding,Linen,White,Minimalist,Indoor (AC),0.5,0
Gym/Workout,Viscose,Black,Professional,Indoor (AC),0.18,0
Temple Visit,Silk,Earth Tone,Bold,Indoor (AC),0.55,0
Pola/Market,Polyester,Navy Blue,Minimalist,Indoor (AC),0.24,0
Temple Visit,Cotton,Navy Blue,Professional,Indoor (AC),0.3,0
Beach Party,Cotton,Maroon,Minimalist,Indoor (AC),0.24,0
Corporate Meeting,Georgette,Navy Blue,Professional,Outdoor (Humid),0.74,0
Beach Party,Silk,Maroon,Bold,Indoor (AC),0.69,0
Pola/Market,Silk,Earth Tone,Minimalist,Indoor (AC),0.33,0
Corporate Meeting,Viscose,Earth Tone,Professional,Outdoor (Humid),0.4,0
Pola/Market,Silk,Black,Minimalist,Outdoor (Humid),0.36,0
Pola/Market,Cotton,Maroon,Professional,Outdoor (Humid),0.73,0
Pola/Market,Polyester,Emerald Green,Minimalist,Outdoor (Humid),0.42,0
Traditional Wedding,Cotton,White,Minimalist,Indoor (AC),0.3,0
Beach Party,Silk,Navy Blue,Professional,Outdoor (Humid),0.28,0
Temple Visit,Georgette,Maroon,Bold,Outdoor (Humid),0.33,0
Corporate Meeting,Linen,Maroon,Minimalist,Outdoor (Humid),0.75,1
Beach Party,Polyester,Maroon,Professional,Indoor (AC),0.48,0
